"series_key","2020","2021","2022","2023","2024","2025"
"A,I_IUOLC,PC_IND,Y65_74,HR",0.98,0.73,1.21,0.55,NA,0.54
"A,I_IUOLC,PC_IND,Y65_74,HU",2.69,2.61,3.21,3.38,2.13,6.58
"A,I_IUOLC,PC_IND,Y65_74,IE",3.11,18.03,5.68,9.58,17.06,12.44
"A,I_IUOLC,PC_IND,Y65_74,IT",1.48,3.34,3.53,3.68,4.02,4.64
"A,I_IUOLC,PC_IND,Y65_74,LT",1.69,1.54,1.2,1.74,3.23,2.3
"A,I_IUOLC,PC_IND,Y65_74,LU",1.66,10.01,2.96,3.51,NA,5.41
"A,I_IUOLC,PC_IND,Y65_74,LV",1.58,3.83,2.07,2.29,2.85,3.37
"A,I_IUOLC,PC_IND,Y65_74,MT",2.02,2.19,3.61,6.97,3.86,2.05
"A,I_IUOLC,PC_IND,Y65_74,NL",4.26,8.08,7.77,7.72,8.74,10.15
"A,I_IUOLC,PC_IND,Y65_74,PL",0.54,1.48,1.43,1.26,0.8,0.95
"A,I_IUOLC,PC_IND,Y65_74,PT",1.59,2.56,3.5,2.33,2.33,3.83
"A,I_IUOLC,PC_IND,Y65_74,RO",0.51,0.33,0.18,0.16,NA,0.14
"A,I_IUOLC,PC_IND,Y65_74,SE",3.42,5.79,6.58,5.16,5.39,5.73
"A,I_IUOLC,PC_IND,Y65_74,SI",0.97,8.03,4.34,3.63,4.37,5.25
"A,I_IUOLC,PC_IND,Y65_74,SK",0.47,2.77,1.55,3.08,3.72,2.79
"A,I_IUSNET,PC_IND,Y16_24,AT",95.46,89.78,93.33,88.98,90.43,98.75
"A,I_IUSNET,PC_IND,Y16_24,BE",94.61,89.21,85.26,90.66,87.82,87.5
"A,I_IUSNET,PC_IND,Y16_24,BG",81.31,86.8,89.08,88.09,85.35,89.86
"A,I_IUSNET,PC_IND,Y16_24,CY",94.67,95.16,96.46,96.87,97.02,97.91
"A,I_IUSNET,PC_IND,Y16_24,CZ",95.09,95.36,96.34,98.18,99.33,97.58
"A,I_IUSNET,PC_IND,Y16_24,DE",88.54,77.95,76.55,73.06,83.99,85.37
"A,I_IUSNET,PC_IND,Y16_24,DK",96.77,97.12,97.84,98.59,97.83,97.33
"A,I_IUSNET,PC_IND,Y16_24,EE",94.24,94.33,92.39,93.63,89.46,92.6
"A,I_IUSNET,PC_IND,Y16_24,EL",89.52,94.42,93.31,94.4,97.08,91.63
"A,I_IUSNET,PC_IND,Y16_24,ES",93.02,93.19,92.6,90.02,90.4,92.64
"A,I_IUSNET,PC_IND,Y16_24,FI",92.04,93.86,92.74,93.42,94.22,97.75
"A,I_IUSNET,PC_IND,Y16_24,FR",NA,71.2,72.99,70.91,NA,94.9
"A,I_IUSNET,PC_IND,Y16_24,HR",94.49,96.72,94.48,93.99,89.38,90.82
"A,I_IUSNET,PC_IND,Y16_24,HU",96.42,95.75,97.01,96.43,96.37,93.63
"A,I_IUSNET,PC_IND,Y16_24,IE",NA,NA,NA,91.51,95.43,93.14
"A,I_IUSNET,PC_IND,Y16_24,IT",78.57,79.47,80.71,80.67,81.78,81.36
"A,I_IUSNET,PC_IND,Y16_24,LT",90.03,90.34,91.75,89.11,85.43,90.63
"A,I_IUSNET,PC_IND,Y16_24,LU",79.96,82.71,76.89,77.99,88.5,82.73
"A,I_IUSNET,PC_IND,Y16_24,LV",91.54,93.02,94.58,93.29,92.13,94.11
"A,I_IUSNET,PC_IND,Y16_24,MT",92.65,93.75,95.47,98.78,93.7,97.97
"A,I_IUSNET,PC_IND,Y16_24,NL",92.11,90.51,90.27,94.41,96.45,95
"A,I_IUSNET,PC_IND,Y16_24,PL",91.4,90.99,93.25,93.02,90.09,91.66
"A,I_IUSNET,PC_IND,Y16_24,PT",95.65,94.6,95.55,94.13,92.66,90.95
"A,I_IUSNET,PC_IND,Y16_24,RO",86.02,88.93,87.13,89.07,89.21,93.63
"A,I_IUSNET,PC_IND,Y16_24,SE",85.31,84.66,81.29,85.76,88.83,89.1
"A,I_IUSNET,PC_IND,Y16_24,SI",95.19,91.25,90.02,95.5,92.3,93.21
"A,I_IUSNET,PC_IND,Y16_24,SK",90.27,91.91,80.23,85.95,84.56,93.39
"A,I_IUSNET,PC_IND,Y25_64,AT",60.09,58.26,62.99,66.45,67.61,70.21
"A,I_IUSNET,PC_IND,Y25_64,BE",81.61,64.5,70.29,70.39,76.16,70.29
"A,I_IUSNET,PC_IND,Y25_64,BG",60.82,66.38,69.2,71.31,72.07,77.4
"A,I_IUSNET,PC_IND,Y25_64,CY",82.34,82.74,82.24,86.75,90.93,90.2
"A,I_IUSNET,PC_IND,Y25_64,CZ",63.58,66.89,69.45,73.85,75.24,74.99
"A,I_IUSNET,PC_IND,Y25_64,DE",55.29,47.56,49.26,51.05,61.13,62.15
