"country_code","country","year","age_group","online_shopping"
"NL","Netherlands",2020,"Y25_64",88.61
"NL","Netherlands",2020,"Y65_74",71.02
"NL","Netherlands",2021,"Y16_24",91.82
"NL","Netherlands",2021,"Y25_64",91.78
"NL","Netherlands",2021,"Y65_74",76.42
"NL","Netherlands",2022,"Y16_24",89.03
"NL","Netherlands",2022,"Y25_64",91.17
"NL","Netherlands",2022,"Y65_74",73.43
"NL","Netherlands",2023,"Y16_24",97.41
"NL","Netherlands",2023,"Y25_64",94.77
"NL","Netherlands",2023,"Y65_74",76.09
"NL","Netherlands",2024,"Y16_24",97.1
"NL","Netherlands",2024,"Y25_64",95.49
"NL","Netherlands",2024,"Y65_74",84.21
"NL","Netherlands",2025,"Y16_24",97.3
"NL","Netherlands",2025,"Y25_64",95.68
"NL","Netherlands",2025,"Y65_74",83.98
"PL","Poland",2020,"Y16_24",77.82
"PL","Poland",2020,"Y25_64",66.92
"PL","Poland",2020,"Y65_74",16.82
"PL","Poland",2021,"Y16_24",79.25
"PL","Poland",2021,"Y25_64",67.61
"PL","Poland",2021,"Y65_74",18.31
"PL","Poland",2022,"Y16_24",79.93
"PL","Poland",2022,"Y25_64",71.53
"PL","Poland",2022,"Y65_74",21.05
"PL","Poland",2023,"Y16_24",76.65
"PL","Poland",2023,"Y25_64",72.08
"PL","Poland",2023,"Y65_74",22.04
"PL","Poland",2024,"Y16_24",84.28
"PL","Poland",2024,"Y25_64",75.83
"PL","Poland",2024,"Y65_74",22.26
"PL","Poland",2025,"Y16_24",86.06
"PL","Poland",2025,"Y25_64",77.52
"PL","Poland",2025,"Y65_74",24.96
"PT","Portugal",2020,"Y16_24",68.96
"PT","Portugal",2020,"Y25_64",48.99
"PT","Portugal",2020,"Y65_74",7.83
"PT","Portugal",2021,"Y16_24",76.49
"PT","Portugal",2021,"Y25_64",56.7
"PT","Portugal",2021,"Y65_74",12.13
"PT","Portugal",2022,"Y16_24",78.71
"PT","Portugal",2022,"Y25_64",58.62
"PT","Portugal",2022,"Y65_74",14.34
"PT","Portugal",2023,"Y16_24",79.95
"PT","Portugal",2023,"Y25_64",59.87
"PT","Portugal",2023,"Y65_74",15.89
"PT","Portugal",2024,"Y16_24",80.07
"PT","Portugal",2024,"Y25_64",65.31
"PT","Portugal",2024,"Y65_74",19.52
"PT","Portugal",2025,"Y16_24",77.32
"PT","Portugal",2025,"Y25_64",67.47
"PT","Portugal",2025,"Y65_74",19.77
"RO","Romania",2020,"Y16_24",53.6
"RO","Romania",2020,"Y25_64",40.62
"RO","Romania",2020,"Y65_74",8.01
"RO","Romania",2021,"Y16_24",51.51
"RO","Romania",2021,"Y25_64",42.54
"RO","Romania",2021,"Y65_74",8.25
"RO","Romania",2022,"Y16_24",63.11
"RO","Romania",2022,"Y25_64",49.62
"RO","Romania",2022,"Y65_74",11.94
"RO","Romania",2023,"Y16_24",69.72
"RO","Romania",2023,"Y25_64",54.86
"RO","Romania",2023,"Y65_74",15.7
"RO","Romania",2024,"Y16_24",71.42
"RO","Romania",2024,"Y25_64",61.4
"RO","Romania",2024,"Y65_74",19.16
"RO","Romania",2025,"Y16_24",76.99
"RO","Romania",2025,"Y25_64",65.85
"RO","Romania",2025,"Y65_74",23.58
"SE","Sweden",2020,"Y16_24",79.68
"SE","Sweden",2020,"Y25_64",89.76
"SE","Sweden",2020,"Y65_74",61.42
"SE","Sweden",2021,"Y16_24",88.21
"SE","Sweden",2021,"Y25_64",90.54
"SE","Sweden",2021,"Y65_74",66.79
"SE","Sweden",2022,"Y16_24",82.03
"SE","Sweden",2022,"Y25_64",90.6
"SE","Sweden",2022,"Y65_74",66.52
"SE","Sweden",2023,"Y16_24",83.23
"SE","Sweden",2023,"Y25_64",92.82
"SE","Sweden",2023,"Y65_74",73.74
"SE","Sweden",2024,"Y16_24",88.08
"SE","Sweden",2024,"Y25_64",91.45
"SE","Sweden",2024,"Y65_74",73.23
"SE","Sweden",2025,"Y16_24",83.87
"SE","Sweden",2025,"Y25_64",92.29
"SE","Sweden",2025,"Y65_74",76.03
"SI","Slovenia",2020,"Y16_24",84.11
"SI","Slovenia",2020,"Y25_64",67.7
"SI","Slovenia",2020,"Y65_74",22.14
"SI","Slovenia",2021,"Y16_24",86.62
"SI","Slovenia",2021,"Y25_64",76.09
"SI","Slovenia",2021,"Y65_74",36.53
"SI","Slovenia",2022,"Y16_24",81.54
"SI","Slovenia",2022,"Y25_64",67.72
"SI","Slovenia",2022,"Y65_74",25.43
"SI","Slovenia",2023,"Y16_24",84.46
"SI","Slovenia",2023,"Y25_64",70.98
"SI","Slovenia",2023,"Y65_74",29.53
"SI","Slovenia",2024,"Y16_24",83.72
"SI","Slovenia",2024,"Y25_64",72.06
"SI","Slovenia",2024,"Y65_74",28.02
"SI","Slovenia",2025,"Y16_24",87.75
"SI","Slovenia",2025,"Y25_64",71.13
"SI","Slovenia",2025,"Y65_74",32.98
"SK","Slovakia",2020,"Y16_24",78.78
"SK","Slovakia",2020,"Y25_64",65.83
"SK","Slovakia",2020,"Y65_74",28.74
"SK","Slovakia",2021,"Y16_24",88.39
"SK","Slovakia",2021,"Y25_64",80.41
"SK","Slovakia",2021,"Y65_74",37.02
"SK","Slovakia",2022,"Y16_24",94.78
"SK","Slovakia",2022,"Y25_64",81.7
"SK","Slovakia",2022,"Y65_74",36.61
"SK","Slovakia",2023,"Y16_24",92.7
"SK","Slovakia",2023,"Y25_64",82.9
"SK","Slovakia",2023,"Y65_74",34.83
"SK","Slovakia",2024,"Y16_24",91.93
"SK","Slovakia",2024,"Y25_64",83.79
"SK","Slovakia",2024,"Y65_74",40.03
"SK","Slovakia",2025,"Y16_24",90.82
"SK","Slovakia",2025,"Y25_64",84.08
"SK","Slovakia",2025,"Y65_74",44.76
