SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025
040,3,5,37,North Carolina,10450215,10565503,10705768,10871849,11052061,11197968,8823,115288,140265,166081,180212,145907,28679,116720,121548,121274,121444,123046,25884,115540,118289,108957,107905,107917,2795,1180,3259,12317,13539,15129,680,9926,37814,53771,82899,46890,8788,103627,98454,98929,83059,84064,9468,113553,136268,152700,165958,130954,-3440,555,738,1064,715,-176
040,2,4,38,North Dakota,779612,777977,780191,787071,793387,799358,476,-1635,2214,6880,6316,5971,2560,10010,9761,9729,9583,9760,1768,7831,7368,6936,6905,7130,792,2179,2393,2793,2678,2630,30,453,2554,3158,4083,2810,-447,-3878,-2744,930,-423,512,-417,-3425,-190,4088,3660,3322,101,-389,11,-1,-22,19
040,2,3,39,Ohio,11798534,11761443,11764950,11808390,11860621,11900510,-911,-37091,3507,43440,52231,39889,32332,128188,128825,128738,126625,126825,33790,146978,149201,131764,127985,127554,-1458,-18790,-20376,-3026,-1360,-729,518,9281,35678,47116,55855,28505,-2750,-32482,-6882,1045,-1339,11926,-2232,-23201,28796,48161,54516,40431,2779,4900,-4913,-1695,-925,187
040,3,7,40,Oklahoma,3965243,3992760,4025327,4062716,4097758,4123288,5889,27517,32567,37389,35042,25530,11614,47619,48353,48864,47829,48603,10355,50871,51596,45126,44917,46044,1259,-3252,-3243,3738,2912,2559,178,2179,11013,11204,18700,8420,3848,26921,25770,22671,13542,14492,4026,29100,36783,33875,32242,22912,604,1669,-973,-224,-112,59
040,4,9,41,Oregon,4243544,4254691,4245964,4250392,4265324,4273586,6262,11147,-8727,4428,14932,8262,10277,39632,40461,38822,38840,38334,9543,41866,46314,43482,42526,42098,734,-2234,-5853,-4660,-3686,-3764,177,2610,6900,16833,20580,9636,5484,9670,-8946,-7370,-1736,2228,5661,12280,-2046,9463,18844,11864,-133,1101,-828,-375,-226,162
040,1,2,42,Pennsylvania,12995576,13016628,12984655,13009406,13045848,13059432,-7177,21052,-31973,24751,36442,13584,32886,130148,131590,129053,127537,126981,40353,155831,155234,141231,137190,137689,-7467,-25683,-23644,-12178,-9653,-10708,626,10199,37147,63364,58464,26921,-3544,28598,-40586,-24570,-11252,-2936,-2918,38797,-3439,38794,47212,23985,3208,7938,-4890,-1865,-1117,307
040,1,1,44,Rhode Island,1096487,1097381,1098275,1101183,1110415,1114521,-870,894,894,2908,9232,4106,2544,10025,10449,10049,9908,10021,3379,11305,11068,10543,10299,10325,-835,-1280,-619,-494,-391,-304,77,1070,6948,6846,10063,5923,-394,405,-4992,-3254,-364,-1551,-317,1475,1956,3592,9699,4372,282,699,-443,-190,-76,38
040,3,5,45,South Carolina,5131992,5194346,5288957,5390798,5490316,5570274,13742,62354,94611,101841,99518,79958,13527,55879,57655,58198,58035,59681,14085,65049,64806,59063,58560,59117,-558,-9170,-7151,-865,-525,564,337,4026,15365,21668,32760,12930,14790,68406,83341,79536,66367,66622,15127,72432,98706,101204,99127,79552,-827,-908,3056,1502,916,-158
040,2,4,46,South Dakota,887808,896303,909156,917739,927110,935094,1152,8495,12853,8583,9371,7984,2841,11064,11244,11183,11309,11299,2054,9872,9282,8586,8687,8694,787,1192,1962,2597,2622,2605,64,1100,2380,1361,4754,3183,298,6178,8168,4514,1930,2169,362,7278,10548,5875,6684,5352,3,25,343,111,65,27
040,3,6,47,Tennessee,6927736,6966687,7063325,7153029,7251291,7315076,15417,38951,96638,89704,98262,63785,19280,79603,82228,83201,83396,84408,18918,89394,91620,81142,80107,80811,362,-9791,-9392,2059,3289,3597,208,3111,20127,26129,47976,17990,14728,46401,82316,60397,46496,42389,14936,49512,102443,86526,94472,60379,119,-770,3587,1119,501,-191
040,3,7,48,Texas,29237895,29572672,30118002,30719247,31318578,31709821,88397,334777,545330,601245,599331,391243,88105,364360,383791,390308,387626,390203,55689,269979,260655,231625,230260,232492,32416,94381,123136,158683,157366,157711,1955,43481,198371,251690,354864,167475,52502,199360,218840,188667,86067,67299,54457,242841,417211,440357,440931,234774,1524,-2445,4983,2205,1034,-1242
